StudentId,UoPId,2019-20 ENG LEVEL
1605005,882537,L5
1605015,882615,L5
1605017,882613,L5
1605038,882521,L5
1605043,882627,L5
1606005,882558,L5
1606007,882536,L5
1606023,882592,L5
1702340,882593,L5
1703146,882556,L5
1705093,882608,L5
140068,843132,L6
140084,843137,L6
140294,843153,L6
1503013,843228,L6
1503037,843234,L6
1503057,843238,L6
1503067,843241,L6
1503079,843246,L6
1503096,843249,L6
1503100,843252,L6
1503102,843253,L6
1506008,843264,L6
1506012,843297,L6
1506017,843298,L6
1509003,843300,L6
1509004,843301,L6
1513161,843307,L6
1513168,843308,L6
1603200,843310,L6
1606010,843311,L6
1606021,843312,L6
1503108,843329,L6
1505013,843465,L6
1601002,843333,L6
1601003,843334,L6
