EXAM_TITLE,MCODE,AY,TERM,STUDENT_ID,EXAM_HALL,SEAT_NO,TIME,DAY_DATE_DISPLAY,DATE,CLASS,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802209,TB2 A3 R4/5,E10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802227,TB2 A3 R6/7,A7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802263,TB2 A3 R6/7,A11,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802281,TB2 A3 R6/7,B2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803079,TB2 A3 R6/7,C7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803122,TB2 A3 R6/7,D6,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803125,TB2 A3 R6/7,D7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803135,TB2 A3 R6/7,D8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803163,TB2 A3 R6/7,E4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803164,TB2 A3 R6/7,E5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803194,TB2 B3 R3/4,A3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804037,TB2 B3 R3/4,B4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804043,TB2 B3 R3/4,B7,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804044,TB2 B3 R3/4,B8,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1804045,TB2 B3 R3/4,B9,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1805004,TB2 B3 R3/4,B11,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1805022,TB2 B3 R3/4,C3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM15,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802081,TB2 A3 R4/5,C1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802127,TB2 A3 R4/5,D2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802211,TB2 A3 R6/7,A1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1802282,TB2 A3 R6/7,B3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803025,TB2 A3 R6/7,B10,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803032,TB2 A3 R6/7,C1,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803117,TB2 A3 R6/7,D4,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803120,TB2 A3 R6/7,D5,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803159,TB2 A3 R6/7,E2,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1803161,TB2 A3 R6/7,E3,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
GSD Basic Math Midterm,MTCG1016,1920,1,1902009,TB2 B3 R3/4,C9,08:00-09:15,"Monday,04-11-2019",4/11/2019,BM16,,,,
